ALL	sentiment	NO literature	sentiment		ALL - negative	ALL - positive	NO - negative	NO - positive
hérétiques	0	opprimèrent	0		501	486	552	509
apostats	0	hérétiques	0					
persécuta	0	infidèles	0					
profanaient	0	détestèrent	0					
raillèrent	0	apostats	0					
infidèles	0	encoururent	0					
opprimèrent	0	calomnièrent	0					
calomnièrent	0	exterminaient	0					
persécuteront	0	raillèrent	0					
encoururent	0	profanaient	0					
prostituaient	0	pervertirent	0					
sectaires	0	imposteurs	0					
captivités	0	opprima	0					
méprisaient	0	défigurèrent	0					
exécraient	0	méprisèrent	0					
persécutent	0	ghetto	0					
pervertirent	0	persécutes	0					
exterminations	0	extermina	0					
haïront	0	prostituaient	0					
défigurèrent	0	vantèrent	0					
persécutes	0	proscrivirent	0					
détestaient	0	gourous	0					
supplieront	0	persécutera	0					
méprisèrent	0	déshonorèrent	0					
maudiraient	0	chasseraient	0					
mutilaient	0	taxèrent	0					
vantèrent	0	impénitents	0					
réfugieraient	0	abolirent	0					
ébranlerai	0	insurgèrent	0					
tyrannisaient	0	détestaient	0					
détruirai	0	populaces	0					
taxèrent	0	dépossédèrent	0					
chasseront	0	ascètes	0					
captifs	0	ghettos	0					
enfreignaient	0	expatrièrent	0					
gourous	0	regorgea	0					
maudirent	0	exode	0					
imploreront	0	maudissaient	0					
persécutait	0	éludaient	0					
usures	0	asservirent	0					
dominerez	0	condamneront	0					
impénitents	0	mutilaient	0					
extermina	0	dominerez	0					
impies	0	violèrent	0					
briseurs	0	abhorrent	0					
enfuiraient	0	enterraient	0					
expatrièrent	0	chasseront	0					
indigneraient	0	trafiquants	0					
gitanes	0	délaisseront	0					
paillardes	0	révoltèrent	0					
opprimaient	0	exècrent	0					
maltraitaient	0	exterminera	0					
aliénaient	0	incubes	0					
abolirent	0	intercèdent	0					
vikings	0	étrangers	0					
abhorrent	0	profanèrent	0					
soustrairaient	0	exterminent	0					
irriteront	0	bigots	0					
désavoueront	0	apostasies	0					
ascètes	0	enfreignaient	0					
prohibèrent	0	esclaves	0					
exode	0	repentaient	0					
raillaient	0	bannirait	0					
esclaves	0	exclurent	0					
ghettos	0	insultèrent	0					
haïssaient	0	expulsaient	0					
poursuivrez	0	captifs	0					
désavouent	0	apostasie	0					
soupçonnèrent	0	soupçonnèrent	0					
traquèrent	0	périrez	0					
salaient	0	incrédules	0					
regorgea	0	dépendirent	0					
rejetterai	0	déguisèrent	0					
méprenaient	0	maudiront	0					
circoncision	0	suicident	0					
colportaient	0	interdirent	0					
désapprouvaient	0	repentirent	0					
extermineront	0	déshonoreraient	0					
méconnurent	0	inhumanités	0					
assujettirent	0	gainas	0					
tuâtes	0	soucièrent	0					
exterminèrent	0	exorcistes	0					
enterraient	0	détruirez	0					
exterminera	0	émigraient	0					
implorèrent	0	barbares	0					
imposteurs	0	assassinaient	0					
persécution	0	complotèrent	0					
infligèrent	0	exterminer	0					
populaces	0	horrifiques	0					
désolerait	0	nièrent	0					
gourou	0	désapprouvaient	0					
condamneront	0	humilièrent	0					
émigreront	0	substitueront	0					
apostasies	0	perceraient	0					
appréhendèrent	0	calomniaient	0					
délaissèrent	0	avouaient	0					
humiliaient	0	usurperaient	0					
païen	0	domineras	0					
proxénètes	0	traquaient	0					
déguisèrent	0	enfuiraient	0					
maudiront	0	émigrèrent	0					
charnels	0	parjurent	0					
intolérances	0	persécuter	0					
superstitions	0	paillardes	0					
insurgeait	0	nègres	0					
bigots	0	punirent	0					
désobéissent	0	déshonoraient	0					
renonceront	0	insultaient	0					
mendiants	0	incendiaient	0					
parias	0	aspirèrent	0					
pervertissait	0	suicidait	0					
souillèrent	0	mentirent	0					
éludent	0	inutilisés	0					
abomination	0	crachèrent	0					
mendieront	0	regorgèrent	0					
isoles	0	raillaient	0					
gèles	0	abominations	0					
feignaient	0	feignaient	0					
fétiche	0	censuraient	0					
détestent	0	profanait	0					
périrez	0	falsifiaient	0					
enfouirent	0	renégate	0					
contesteraient	0	isoles	0					
barbares	0	inclinerez	0					
insinuaient	0	circoncision	0					
parodiaient	0	censurèrent	0					
blasphématoires	0	gourou	0					
révoquaient	0	taxa	0					
suicidait	0	nias	0					
corrompront	0	bannissaient	0					
décriaient	0	gémissaient	0					
niaient	0	exhument	0					
baratter	0	travestissent	0					
somatiques	0	protesterais	0					
acharnèrent	0	souillèrent	0					
profanait	0	renonceraient	0					
poignardèrent	0	omettaient	0					
nias	0	capturaient	0					
éloignerions	0	isolèrent	0					
profanerait	0	révoquèrent	0					
dissidents	0	désolerait	0					
athées	0	soustrairaient	0					
agenouillaient	0	enterrent	0					
abîmèrent	0	païennes	0					
fornication	0	blâmaient	0					
déshonoraient	0	désapprobateurs	0					
brisions	0	avouèrent	0					
exorcistes	0	retenions	0					
proscrivait	0	agenouillaient	0					
anéantissaient	0	indignèrent	0					
déroberaient	0	repousseraient	0					
déshonoreraient	0	mendiants	0					
substitueront	0	assujettirent	0					
inhumait	0	domineraient	0					
diffères	0	crieraient	0					
dégradera	0	avoueraient	0					
blâmerions	0	confisquerait	0					
