ALL	sentiment	NO literature	sentiment		ALL - negative	ALL - positive	NO - negative	NO - positive
errant	0	errant	0		399	319	426	382
chaman	0	ghetto	0					
ghetto	0	païen	0					
mépriseras	0	renégat	0					
vagabond	0	imposteur	0					
salira	0	diable	0					
étrangleur	0	mentit	0					
raillèrent	0	vagabond	0					
renégate	0	enterrerait	0					
évadait	0	désolerait	0					
infidèle	0	sombrement	0					
maltraites	0	sectaire	0					
imposteur	0	persécutes	0					
vieillirait	0	enfermerais	0					
incrédule	0	évadait	0					
persécuta	0	agenouillera	0					
enfermerais	0	tairait	0					
trafiquant	0	maudirais	0					
hérétique	0	hâterais	0					
indigneraient	0	mendiant	0					
traître	0	maudirent	0					
décrièrent	0	regimbait	0					
enlèveras	0	attraperez	0					
nieras	0	cireur	0					
implorerait	0	gourou	0					
suicidait	0	trafiquant	0					
importunerait	0	aphones	0					
rançonne	0	rancunier	0					
foutaise	0	misérable	0					
ébranlerai	0	échappes	0					
crèverait	0	étrangleur	0					
rancunier	0	paysan	0					
mentirait	0	indignerait	0					
vantardises	0	traître	0					
subissiez	0	trahirez	0					
souillerez	0	soupçonnerais	0					
exterminerai	0	voleur	0					
poignardait	0	saisirais	0					
profanera	0	casserons	0					
prostituera	0	mendieront	0					
maltraitait	0	rétractera	0					
damnerait	0	attraperait	0					
charnel	0	maudirez	0					
brouillait	0	nègre	0					
rétracterait	0	humilierai	0					
voleur	0	plaideuse	0					
bredouilla	0	hérétique	0					
opprima	0	exhibait	0					
déchirerais	0	enlèveras	0					
périras	0	cracha	0					
exterminait	0	toquer	0					
persécutera	0	ensevelirez	0					
renégats	0	nieras	0					
bougonnait	0	espion	0					
attraperez	0	appréhendèrent	0					
paillardes	0	séchai	0					
exhumera	0	volerez	0					
tromperas	0	regorgea	0					
ridiculisa	0	renonceriez	0					
appréhendai	0	prétendriez	0					
insultait	0	exterminaient	0					
malavisé	0	trahirons	0					
maudirent	0	déserterai	0					
poursuivras	0	déshonorera	0					
rétractera	0	crias	0					
mendie	0	obligerons	0					
prétendriez	0	soupirera	0					
rasera	0	bredouilla	0					
maltraiterait	0	souillerez	0					
humilierai	0	dissimules	0					
imiterions	0	ébranlerai	0					
affronterais	0	séquestra	0					
oublieur	0	exigerais	0					
trancheront	0	prostitua	0					
gourou	0	froissai	0					
abaisserais	0	disséquait	0					
clamèrent	0	ôteras	0					
exterminerait	0	profanait	0					
effémine	0	entêta	0					
dégradera	0	gainas	0					
brisions	0	déguiserait	0					
pendrai	0	imiterions	0					
pourchassa	0	anéantirai	0					
mendiais	0	séquestrait	0					
insultiez	0	supprimiez	0					
prétendis	0	avare	0					
obscurcirait	0	ruinerez	0					
maudirez	0	argumentait	0					
impénitent	0	épuiserais	0					
sorcière	0	impénitent	0					
mépriserait	0	risquerons	0					
insulterait	0	puniraient	0					
humiliera	0	bancale	0					
éconduisit	0	apostat	0					
charcuter	0	douteras	0					
abandonneras	0	pourchassa	0					
purgerait	0	arrêtas	0					
gitanes	0	entacherait	0					
humiliais	0	rasera	0					
surprendraient	0	désavoueront	0					
affola	0	bayou	0					
détestera	0	méprisai	0					
sectaire	0	rétracterait	0					
racoleur	0	plaiderons	0					
désavoueront	0	trahirait	0					
regimbait	0	presserais	0					
frappas	0	pauvre	0					
maltraite	0	causeras	0					
diffères	0	brouillait	0					
disloquait	0	mentiez	0					
inopérant	0	dépareille	0					
niâmes	0	offensiez	0					
fléchirait	0	païens	0					
saoul	0	arracherons	0					
combatif	0	évasif	0					
taillader	0	déroberas	0					
charabias	0	briseras	0					
complut	0	écartela	0					
damnait	0	chasserais	0					
rétracterai	0	obscurcirait	0					
tairait	0	rattraperons	0					
plaideuse	0	obligerais	0					
résistions	0	réfutera	0					
rétrograderait	0	enlèverais	0					
ruinerais	0	supposerais	0					
traqua	0	souillerai	0					
soupirera	0	maltraite	0					
épuiserais	0	sidérait	0					
fanatismes	0	tourmentera	0					
empêcherions	0	endette	0					
endette	0	railla	0					
dénonçais	0	exhumera	0					
enseveliront	0	méchant	0					
crèvera	0	crèverait	0					
supplieront	0	rejetterai	0					
contrebandier	0	décriait	0					
diable	0	déferai	0					
désolais	0	traîtrise	0					
détourniez	0	effémine	0					
dédaignai	0	damnera	0					
répugnais	0	défigurèrent	0					
anéantirai	0	repousseriez	0					
brûlerez	0	dévoilerai	0					
épuiserai	0	barricadait	0					
obligerais	0	frapperas	0					
gémiraient	0	soupçonnerait	0					
feindrait	0	tondait	0					
éloignerions	0	pousseras	0					
gainas	0	pervertissait	0					
regimba	0	ensevelirons	0					
critiquerait	0	détiendrait	0					
arracheras	0	athée	0					
évince	0	inquiéterais	0					
poursuivrez	0	mépriserais	0					
dépareille	0	préméditait	0					
grincera	0	réprimera	0					
désolerait	0	oseras	0					
déposséda	0	retarderai	0					
abrutissait	0	frustrait	0					
risquais	0	insistiez	0					
souffriras	0	escroquer	0					
dérobiez	0	ermite	0					
enterrerez	0	regimba	0					
presserais	0	empêcheras	0					
pilleur	0	désapprouverait	0					
rejetâmes	0	mendie	0					
dissimules	0	arracherais	0					
ôteras	0	irlandais	0					
bouscula	0	fléchirait	0					
sauteraient	0	chancelles	0					
tondrait	0	écumeur	0					
bazars	0	foutaise	0					
offensiez	0	éconduisit	0					
assassinerait	0	déferez	0					
usurperait	0	reporterai	0					
possédai	0	évince	0					
dénuer	0	violerai	0					
impénitente	0	composions	0					
déroberai	0	ergoteur	0					
répéteras	0	parjurer	0					
enterrerons	0	infidèles	0					
patientait	0	percerai	0					
infaisable	0	insulterait	0					
escroc	0	exterminerai	0					
fourvoya	0	humiliais	0					
congédierait	0	séparerez	0					
aphones	0	radotait	0					
confisquerait	0	terrifièrent	0					
désespérerai	0	crieraient	0					
tourmentera	0	humiliera	0					
souteneur	0	exposerez	0					
implorerai	0	haïrait	0					
exhibait	0	maudiraient	0					
profanaient	0	vantardises	0					
intransigeant	0	enfermerait	0					
abaissais	0	embrouillèrent	0					
babilla	0	pendrai	0					
oppresseur	0	méfiant	0					
trébuchai	0	usurperait	0					
dénouerait	0	beugla	0					
inculpait	0	nias	0					
trahirons	0	bête	0					
païenne	0	dissuadait	0					
ignorant	0	lesbiennes	0					
cacherait	0	radotage	0					
pourchassèrent	0	avortaient	0					
saisirais	0	plaideur	0					
renégat	0	prophète	1					
païen	0	polonais	1					
proxénète	0	marchand	1					
poignarderai	0	prêteriez	1					
espion	0	patriarche	1					
crachera	0	éclaircirons	1					
esclave	0	illustrerait	1					
nègre	0	restaurai	1					
intercédera	0	symbolisa	1					
rejetiez	0	prophétisaient	1					
maltraitera	0	garantirai	1					
braillait	0	banquier	1					
toussai	0	offrirez	1					
gaspilleur	0	calmement	1					
déshonorera	0	penserais	1					
persécutes	0	surnommaient	1					
mendiant	0	peuple	1					
renonceras	0	orthodoxe	1					
traîtrise	0	adorerait	1					
captif	0	gouverneras	1					
fondrai	0	déclarerai	1					
misérable	0	prêchiez	1					
cacheriez	0	proclamais	1					
espionnait	0	subventionnait	1					
enterrerait	0	prééminente	1					
calomnièrent	0	fanatique	1					
trahiras	0	vénères	1					
brûliez	0	vouais	1					
hâterais	0	enrichirai	1					
picolas	0	absoudrez	1					
mentiez	0	galopai	1					
tuâtes	0	infusait	1					
rejetterai	0	prophétesse	1					
agenouillera	0	recomptait	1					
attraperait	0	débiterait	1					
satané	0	adoreraient	1					
humiliai	0	vénérais	1					
traîtrises	0	foulerait	1					
ensevelirez	0	incarnait	1					
taillerait	0	préviendrons	1					
mentit	0	affirmes	1					
prostitua	0	bénissiez	1					
crieras	0	troqua	1					
ruinerez	0	yeoman	1					
quittâtes	0	adjoignis	1					
froissai	0	sanctifieras	1					
renonceriez	0	soulageraient	1					
souillera	0	nomade	1					
éviteriez	0	marcheras	1					
bridait	0	prédisais	1					
détesterait	0	imprimerai	1					
mendieront	0	moine	1					
tracassant	0	divertirait	1					
pousseras	0	réinstalla	1					
fétiche	0	renseigna	1					
rétorqua	0	interpoler	1					
ergoteur	0	imams	1					
sombrement	0	millénaire	1					
cireur	0	troquait	1					
pervertira	0	éclairai	1					
causeras	0	conviendriez	1					
déshonorerait	0	ingérait	1					
apostat	0	marierais	1					
traînerais	0	épouseriez	1					
maudirais	0	ressusciterai	1					
baratter	0	voyagerai	1					
empoignait	0	convaincrait	1					
courbatu	0	démos	1					
profanerait	0	fervent	1					
trembleriez	0	accompagniez	1					
ignorai	0	prêterais	1					
soupçonneriez	0	achèterait	1					
maudiras	0	ressemblerez	1					
réprimera	0	biblique	1					
apostasie	0	popularisait	1					
réfuterait	0	disséminait	1					
radotes	0	refaisait	1					
poignarderait	0	gouverniez	1					
arrachas	0	familiarisèrent	1					
perdîtes	0	praticienne	1					
détruiras	0	proclamerais	1					
revendit	0	cuirait	1					
échappes	0	commerçant	1					
maudirait	0	revêtirait	1					
empêchions	0	tenteras	1					
rabaisserait	0	livreras	1					
miteux	0	armeraient	1					
élingue	0	offriras	1					
insurgeait	0	rachèterai	1					
sorcier	0	qualifièrent	1					
abhorrait	0	réfléchiras	1					
déferez	0	rêverait	1					
martyrisaient	0	achèveras	1					
déguiserait	0	ressemblerais	1					
bourreau	0	pratiquiez	1					
plaiderons	0	grimpera	1					
désapprouverait	0	encaissera	1					
sépariez	0	embrassiez	1					
broiera	0	laverait	1					
préméditait	0	prêcherai	1					
coagulait	0	compromettrais	1					
nieraient	0	apaiserai	1					
défaillaient	0	empocha	1					
écumeur	0	acheteuse	1					
emprisonnera	0	transcripteur	1					
menteur	0	assouvissait	1					
beugla	0	figurerai	1					
appréhendèrent	0	putative	1					
haïras	0	reconnaîtras	1					
évasif	0	secourra	1					
crèverai	0	restauraient	1					
battras	0	comprendrai	1					
indignera	0	désignerais	1					
argumentait	0	rétrospectivement	1					
percerai	0	précautionneux	1					
chancelles	0	adoriez	1					
clamaient	0	narrai	1					
colporta	0	persévérions	1					
casserons	0	achèteriez	1					
méchant	0	illuminerait	1					
coucheras	0	affiliaient	1					
obligerons	0	tétais	1					
voyou	0	rappelleras	1					
gémissiez	0	vouerait	1					
toquades	0	voyageur	1					
rougiras	0	blagueur	1					
brûlerons	0	essuierai	1					
